"ligand","ligand_cell","receptor","associated_genes","receptor_cell","pathway","score"
"Vegfa","EC_WT","Itgb1","Tlr2,Il1b,Tnf,C3,Fcgr3,Ptgs2,Ifngr2,H2-Aa,H2-Ab1,H2-Eb1,H2-DMa,Marcksl1","EC_WT","mmu05140","0.672620886871133"
"Vegfa","EC_WT","Itgb1","H2-Aa,H2-Ab1,H2-Eb1,H2-DMa,Tnf,Pik3cd,Ppif","EC_WT","mmu05145","0.610806364847025"
"Vegfa","EC_WT","Itgb1","Cxcr4,Adcy3,Pik3cd,Stat5a,Runx1,Cebpa,Csf2ra,Bid","EC_WT","mmu05200","0.625328704208876"
"Vegfa","FAP_WT","Itgb1","Adcy9,Lamb2,Bcl2l1,Mtor","EC_WT","mmu05200","0.761377396562304"
"Vegfa","EC_WT","Itgb1","Mras,Gab1,Itpr2,Mmp2,Fas,Fn1,Fzd1,Fzd5,Plcg1,Col1a1,Col1a2","EC_WT","mmu05205","0.655081567507548"
"Vegfa","EC_WT","Itgb1","Pik3cd,Cd63,Tnf,Itgb5","EC_WT","mmu05205","0.640762419550593"
"Vegfa","FAP_WT","Itgb1","Ppp1r12c,Cdkn1a,Vegfa","FAP_WT","mmu05205","0.850797284292234"
"Vegfa","FAP_WT","Itgb1","Bcl2,Lamb2,Bcl2l1","EC_WT","mmu05222","0.672161780823955"
"Vegfa","EC_WT","Itgb1","Cycs,Cdk4,Ccnd1,Cks1b,Cks2,Skp2,Ccne1,E2f1","FAP_WT","mmu05222","0.641003002966326"
"Vegfa","FAP_WT","Itgb1","Casp9,Pik3r2,Akt2","EC_WT","mmu05222","0.614618187375865"
"Vegfa","EC_WT","Itgb1","Actb,Emd,Lmna,Tnf","FAP_WT","mmu05410","0.61568896966122"
"Vegfa","EC_WT","Itgb1","Prkab2,Prkag2,Ace,Igf1","FAP_WT","mmu05410","0.646403597232196"
"Vegfa","FAP_WT","Itgb1","Itga6,Itga9,Adcy9","EC_WT","mmu05414","0.709600198717933"
"Vegfa","FAP_WT","Itgb1","Itga6,Itga9,Adcy9","FAP_WT","mmu05414","0.621745308935838"
"Vegfa","EC_WT","Itgb1","Emd,Lmna,Tnf","EC_WT","mmu05414","0.650466101793891"
"Vegfa","EC_WT","Itgb1","Emd,Lmna,Tnf","FAP_WT","mmu05414","0.641924895925196"
"Vegfa","FAP_WT","Kdr","Vegfb,Gnb5,Gng5,Gng10,Pik3r2,Akt2,Pla2g12a","EC_WT","mmu04014","0.610663434476358"
"Vegfa","EC_WT","Kdr","Adcy3,Apbb1ip,Pik3cd","EC_WT","mmu04015","0.625780678803058"
"Vegfa","FAP_WT","Kdr","Adcy9,Rapgef1,Sipa1,Sipa1l2,Id1","EC_WT","mmu04015","0.670800114512009"
"Vegfa","EC_WT","Kdr","Ccl11,Vegfa,Bmp2,Il1r2","EC_WT","mmu04060","0.686745026657797"
"Vegfa","FAP_WT","Kdr","Ccl11,Vegfa,Bmp2,Il1r2","FAP_WT","mmu04060","0.633878838698141"
"Vegfa","EC_WT","Kdr","Snx5,Rab31,Arap1","EC_WT","mmu04144","0.62325227073704"
"Vegfa","EC_WT","Kdr","Vegfa,Pgf,Nras,Tlr2,Syk,Itgav","EC_WT","mmu04151","0.729988588175611"
"Vegfa","EC_WT","Kdr","Vegfa,Nras,Ptgs2","EC_WT","mmu04370","0.739558299421816"
"Vegfa","FAP_WT","Kdr","Pik3r2,Akt2,Casp9","EC_WT","mmu04370","0.614618187375865"
"Vegfa","FAP_WT","Kdr","Lamb2,Tnxb,Itga6,Itga9,Myl9,Ppp1r12b,Ppp1r12c,Pik3r1,Fyn,Ccnd2","FAP_WT","mmu04510","0.627562459210138"
"Vegfa","FAP_WT","Kdr","Vegfb,Ppp1ca,Akt2,Pik3r2","EC_WT","mmu04510","0.643342844572376"
"Vegfa","EC_WT","Kdr","Rhoa,Myl12b,Mylpf,Bcl2","FAP_WT","mmu04510","0.604418765105813"
"Vegfa","EC_WT","Kdr","Mras,Gab1,Itpr2,Mmp2,Fas,Fn1,Fzd1,Fzd5,Plcg1,Col1a1,Col1a2","EC_WT","mmu05205","0.655081567507548"
"Vegfa","EC_WT","Kdr","Pik3cd,Cd63,Tnf,Itgb5","EC_WT","mmu05205","0.640762419550593"
"Vegfa","FAP_WT","Kdr","Ppp1r12c,Cdkn1a,Vegfa","FAP_WT","mmu05205","0.850797284292234"
"Vegfa","FAP_WT","Nrp1","Slc2a1,Ccnd2,Cdkn1a,Dvl1,Bcl2l1,Adcy9","EC_WT","mmu05166","0.682003367107159"
"Vegfa","EC_WT","Vtn","Vegfa,Pgf,Nras,Tlr2,Syk,Itgav","EC_WT","mmu04151","0.729988588175611"
"Vegfa","FAP_WT","Vtn","Lamb2,Tnxb,Itga6,Itga9,Myl9,Ppp1r12b,Ppp1r12c,Pik3r1,Fyn,Ccnd2","FAP_WT","mmu04510","0.627562459210138"
"Vegfa","FAP_WT","Vtn","Vegfb,Ppp1ca,Akt2,Pik3r2","EC_WT","mmu04510","0.643342844572376"
"Vegfa","EC_WT","Vtn","Rhoa,Myl12b,Mylpf,Bcl2","FAP_WT","mmu04510","0.604418765105813"
"Vegfa","EC_WT","Vtn","Col1a1,Col1a2,Col6a2,Col6a1,Col6a3,Lama4,Lamb1,Lamc1,Comp,Thbs2,Thbs3,Thbs4,Fn1,Tnc,Itgb1,Dag1","EC_WT","mmu04512","0.661264007002498"
