"receptor" "pathway_id" "genes_in_cluster"
"Ccr3" "mmu04060" "Il6,Kitl,Il13ra1,Il15ra,Tnfrsf12a,Fas,Tgfbr1,Acvr2a,Bmpr2"
"Ccr3" "mmu04060" "Pdgfa,Tnfsf9,Ifngr2"
"Ccr3" "mmu04060" "Tnfsf12,Il3ra,Crlf2,Ltbr"
"Ccr3" "mmu04060" "Tnfsf13,Cxcr4,Tnfrsf14"
"Ccr3" "mmu04060" "Tgfb3,Lifr,Ifnar1,Ifngr1,Tgfbr2,Acvr1"
"Ccr3" "mmu04062" "Cxcl1,Cxcl2,Ccl2,Ccl7,Nras,Nfkbia,Adrbk1"
"Ccr3" "mmu04062" "Cxcl10,Cxcl12,Jak2,Stat3,Gnai2,Raf1,Map2k1,Nfkb1,Gnb1"
"Ccr3" "mmu04062" "Cxcl16,Ccl3,Ccl4,Ccl5,Ccl9,Ccl8,Cxcr4,Adcy3,Pik3cd,Nfkbib,Prkcd,Arrb2"
"Ccr3" "mmu04062" "Cxcl14,Adcy7,Gng2"
"Ccr3" "mmu04062" "Ccl11,Gnai3,Prkacb,Sos1,Sos2,Kras,Braf,Mapk1,Pik3r1,Pik3ca,Akt3,Chuk,Gsk3b,Rac1,Wasl,Rock1,Rock2,Gng12,Ptk2,Crk,Crkl,Rap1a,Rap1b"
"Ccr3" "mmu04062" "Stat1,Stat2,Prkaca,Lyn,Vav2,Prex1,Plcb3"
"Ccr3" "mmu04062" "Stat5b,Adcy9,Arrb1"
"Ccr3" "mmu04062" "Adcy4,Shc1,Grb2,Foxo3"
"Ccr3" "mmu04062" "Mapk3,Akt1,Rela,Gsk3a,Gnb2,Pxn,Grk6"
"Ccr3" "mmu04062" "Pik3r2,Gnb5,Gng5,Gng10"
"Ccr3" "mmu04062" "Ikbkb,Ikbkg,Rhoa,Grk5"
"Ccr3" "mmu04062" "Vav3,Gnb4,Gng11"
"Ccr3" "mmu05203" "Kras,Creb1,Atf2,Atf4,Ywhaz,Pik3ca,Pik3r1,Nfkb1,Hnrnpk,Ddx3x,Usp7,Mdm2,Gtf2h1,Ep300,Ccnd2,Ube3a,Dlg1,Rbl2,Kat2b,Rasa2"
"Ccr3" "mmu05203" "Nras,Ywhag,Rel,Traf3,Nfkbia"
"Ccr3" "mmu05203" "Mapk1,Creb3l2,Ddb1,Ywhab,Jak1,Stat3,Casp3,Cdk2,Egr2,Eif2ak2,Prkacb,Crebbp,Ubr4,Chd4,Hdac4,Rac1,Actn4,Actn1,Il6st,Mapkapk2,H2-D1,H2-K1,H2-Q4"
"Ccr3" "mmu05203" "Mapk3,Atf6b,Ltbr,Bax,Grb2,Tradd,Ccnd3,Traf2,Traf5,Scrib,Pxn,Hdac5,Hdac7,Hdac10,Srf,Bad,H2-Q1,H2-T22,H2-T23,Gm11127,Gm7030"
