"receptor" "pathway_id" "genes_in_cluster"
"Ccr3" "mmu04062" "Jak2,Map2k1,Chuk,Nfkb1,Vav3,Rock1,Rock2,Rap1a"
"Ccr3" "mmu04062" "Stat2,Plcb3"
"Ccr3" "mmu04062" "Stat5b,Adcy9,Arrb1"
"Ccr3" "mmu04062" "Gnai3,Prkacb,Sos1,Kras,Braf,Mapk1,Pik3r3,Rac1,Gnb1,Gng12,Ptk2,Crk,Crkl"
"Ccr3" "mmu04062" "Gnai2,Akt1,Grk6"
"Ccr3" "mmu04062" "Adcy3,Akt2"
"Ccr3" "mmu04062" "Adcy4,Foxo3"
"Ccr3" "mmu04062" "Adcy6,Sos2,Pik3r1,Akt3,Gsk3b,Plcb4"
"Ccr3" "mmu04062" "Shc1,Raf1"
"Ccr3" "mmu04062" "Mapk3,Rela,Gnb2,Pxn,Bcar1"
"Ccr3" "mmu04062" "Pik3r2,Gnb5"
"Ccr3" "mmu04062" "Pik3ca,Gng11"
"Ccr3" "mmu04062" "Ikbkg,Rhoa,Rap1b"
"Ccr3" "mmu04062" "Wasl,Gnb4"
"Ccr3" "mmu05203" "Kras,Mapk1,Ywhaz,Ywhaq,Pik3ca,Pik3r3,Hnrnpk,Ddx3x,Prkacb,Usp7,Gtf2h1,Rac1"
"Ccr3" "mmu05203" "Mapk3,Pxn,Hdac7"
"Ccr3" "mmu05203" "Creb1,Atf2,Pik3r1,Ccnd2,Dlg1,Rbl2"
"Ccr3" "mmu05203" "Atf4,Mdm2"
"Ccr3" "mmu05203" "Creb3l1,Atp6v0d1"
"Ccr3" "mmu05203" "Creb3l2,Crebbp,Ep300,Ubr4,Chd4"
"Ccr3" "mmu05203" "Atf6b,Gtf2h4,Bad"
"Ccr3" "mmu05203" "Ddb1,Casp3,Cdk2"
"Ccr3" "mmu05203" "Ywhab,Ccnd1,Psmc1,Rbl1,Hdac1"
"Ccr3" "mmu05203" "Ywhah,Gtf2h2"
"Ccr3" "mmu05203" "Ywhag,Hdac6"
"Ccr3" "mmu05203" "Jak1,Kat2b"
"Ccr3" "mmu05203" "Stat3,Actn1,H2-D1,H2-K1,H2-Q4"
"Ccr3" "mmu05203" "Stat5a,Pik3cd,H2-Q7,H2-T9,H2-T10"
"Ccr3" "mmu05203" "Rela,Nfkb2,Egr3,Cdkn1a,Bax,Scrib,Srf"
